PersonID,FullName,PreferredName,SearchName,IsPermittedToLogon,LogonName,IsExternalLogonProvider,HashedPassword,IsSystemUser,IsEmployee,IsSalesperson,UserPreferences,PhoneNumber,FaxNumber,EmailAddress,Photo,CustomFields,OtherLanguages,LastEditedBy,ValidFrom,ValidTo
11,Ethan Onslow,Ethan,Ethan Ethan Onslow,1,ethano@wideworldimporters.com,0,0xD70F37F5C019499959DDF987E5343B957FEB58959A0270E06919D47F2E84D409,1,1,0,"{""theme"":""ui-darkness"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,ethano@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [] ,""HireDate"":""2011-12-17T00:00:00"",""Title"":""Warehouse Supervisor""}",[],1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
12,Henry Forlonge,Henry,Henry Henry Forlonge,1,henryf@wideworldimporters.com,0,0x3F74BAD95BD9059EFCF80F983899E24369959FD488113AA2D7616823A91659CF,1,1,0,"{""theme"":""le-frog"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,henryf@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Greek"",""Slovak""] ,""HireDate"":""2009-03-18T00:00:00"",""Title"":""Team Member""}","[""Greek"",""Slovak""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
13,Hudson Hollinworth,Hudson,Hudson Hudson Hollinworth,1,hudsonh@wideworldimporters.com,0,0x4AC0A24180C54F425AC88CA33B62136A37B6AAA1943BEA14FC34E228ECCC35C4,1,1,1,"{""theme"":""black-tie"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,hudsonh@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Croatian""] ,""HireDate"":""2010-11-27T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""New England"",""CommissionRate"":""0.24""}","[""Croatian""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
14,Lily Code,Lily,Lily Lily Code,1,lilyc@wideworldimporters.com,0,0xD00658893B3F96277088B3C71DCFBF4DF6E3947EEDBF0C8DA285EFD5C7D4BADD,1,1,1,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,lilyc@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Finnish"",""Bulgarian""] ,""HireDate"":""2010-06-06T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""3.98""}","[""Finnish"",""Bulgarian""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
15,Taj Shand,Taj,Taj Taj Shand,1,tajs@wideworldimporters.com,0,0x9AEFEEC0DBB0EA6B25F0EB99C62C724F18428D45799DCD8A7B63B859B0F8FCB4,1,1,1,"{""theme"":""blitzer"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,tajs@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Arabic"",""Greek""] ,""HireDate"":""2009-03-14T00:00:00"",""Title"":""Manager"",""PrimarySalesTerritory"":""Far West"",""CommissionRate"":""2.29""}","[""Arabic"",""Greek""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
16,Archer Lamble,Archer,Archer Archer Lamble,0,archerl@wideworldimporters.com,0,0x06187F68631295411B022C48B07338F20F4C5C73B31DB67C056C0AE07B8F6EF6,1,1,1,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,archerl@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Greek""] ,""HireDate"":""2009-05-13T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Plains"",""CommissionRate"":""1.88""}","[""Greek""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
17,Piper Koch,Piper,Piper Piper Koch,1,piperk@wideworldimporters.com,0,0x61D8D0828E55E8895E216B88FE98CBA6B5940992279D74992AAA2563F4E66715,1,1,0,"{""theme"":""dark-hive"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,piperk@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Romanian"",""Portuguese""] ,""HireDate"":""2011-10-15T00:00:00"",""Title"":""Manager""}","[""Romanian"",""Portuguese""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
18,Katie Darwin,Katie,Katie Katie Darwin,1,katied@wideworldimporters.com,0,0x47AD2C4A1C611756FB164DE988C259E7E516DD48AF9C3421DD0FE95B3F1E3F2B,1,1,0,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,katied@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Estonian"",""Romanian""] ,""HireDate"":""2008-07-12T00:00:00"",""Title"":""Team Member""}","[""Estonian"",""Romanian""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
19,Jai Shand,Jai,Jai Jai Shand,1,jais@wideworldimporters.com,0,0x84901D360414CD9127E1B83A9F9E7C6B940AA8BD888699388C9FA465DBD297DA,1,1,0,"{""theme"":""le-frog"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,jais@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Finnish"",""Dutch""] ,""HireDate"":""2011-11-13T00:00:00"",""Title"":""Team Member""}","[""Finnish"",""Dutch""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
20,Jack Potter,Jack,Jack Jack Potter,1,jackp@wideworldimporters.com,0,0x8024E8041C1F5BD98FE46983F98C2F5E53E2CD75BF4A6EF6AC13A299F10F714A,1,1,1,"{""theme"":""black-tie"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,jackp@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Arabic""] ,""HireDate"":""2009-05-29T00:00:00"",""Title"":""General Manager"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""3.97""}","[""Arabic""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
21,Reio Kabin,Reio,Reio Reio Kabin,0,NO LOGON,0,NULL,0,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(847) 555-0100,(847) 555-0101,reio@adatum.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
22,Oliver Kivi,Olly,Olly Oliver Kivi,0,NO LOGON,0,NULL,0,0,0,"{""theme"":""blitzer"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(847) 555-0100,(847) 555-0101,olly@adatum.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
23,Hanna Mihhailov,Hanna,Hanna Hanna Mihhailov,0,NO LOGON,0,NULL,0,0,0,"{""theme"":""humanity"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(360) 555-0100,(360) 555-0101,hannam@contoso.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
24,Paulus Lippmaa,Paulus,Paulus Paulus Lippmaa,0,NO LOGON,0,NULL,0,0,0,"{""theme"":""dark-hive"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(360) 555-0100,(360) 555-0101,paulusl@contoso.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
25,Kerstin Parn,Kerstin,Kerstin Kerstin Parn,0,NO LOGON,0,NULL,0,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0100,(415) 555-0101,kerstin@consolidatedmessenger.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
26,Helen Ahven,Helen,Helen Helen Ahven,0,NO LOGON,0,NULL,0,0,0,"{""theme"":""le-frog"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0100,(415) 555-0101,helen@consolidatedmessenger.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
27,Bill Lawson,Bill,Bill Bill Lawson,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""black-tie"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(203) 555-0107,(203) 555-0107,billl@fabrikam.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
28,Helen Moore,Helen,Helen Helen Moore,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(203) 555-0104,(203) 555-0107,helenm@fabrikam.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
29,Penny Buck,Penny,Penny Penny Buck,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""blitzer"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(406) 555-0107,(406) 555-0109,pennyb@graphicdesigninstitute.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
30,Donna Smith,Donna,Donna Donna Smith,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(406) 555-0101,(406) 555-0109,donnas@graphicdesigninstitute.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
31,Madelaine  Cartier,Madelaine,Madelaine Madelaine  Cartier,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""dark-hive"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(423) 555-0101,(423) 555-0100,madelainec@humongousinsurance.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
32,Annette Talon,Annette,Annette Annette Talon,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(423) 555-0106,(423) 555-0100,annettet@humongousinsurance.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
33,Elias Myllari,Elias,Elias Elias Myllari,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""le-frog"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(209) 555-0101,(209) 555-0106,eliasm@litwareinc.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
34,Vilma Niva,Vilma,Vilma Vilma Niva,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""black-tie"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(209) 555-0103,(209) 555-0106,vilman@litwareinc.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
35,Prem Prabhu,Prem,Prem Prem Prabhu,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(423) 555-0102,(423) 555-0108,premp@lucernepublishing.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
36,Sunita Jadhav,Sunita,Sunita Sunita Jadhav,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""blitzer"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(423) 555-0101,(423) 555-0108,sunitaj@lucernepublishing.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
37,Marcos Costa,Marcos,Marcos Marcos Costa,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(252) 555-0106,(252) 555-0101,marcosc@nodpublishers.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
38,Matheus Oliveira,Matheus,Matheus Matheus Oliveira,1,matheuso@nodpublishers.com,0,0x80DE4F3879785996D9754010C8E90C24C3D82BF929D5726E9A69418D772AC046,1,0,0,"{""theme"":""dark-hive"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(252) 555-0107,(252) 555-0101,matheuso@nodpublishers.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
39,Eliza Soderberg,Eliza,Eliza Eliza Soderberg,1,elizas@northwindelectriccars.com,0,0x2787527C41F2131B0C1314FA84D727BCA95A6AF9F7F3DD5A028344E4BD5E1B87,1,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(201) 555-0101,(201) 555-0106,elizas@northwindelectriccars.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
40,Sara Karlsson,Sara,Sara Sara Karlsson,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""le-frog"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(201) 555-0100,(201) 555-0106,sarak@northwindelectriccars.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
41,Donald Jones,Donald,Donald Donald Jones,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""black-tie"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(605) 555-0101,(605) 555-0101,donaldj@treyresearch.net,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
42,Sharon Graham,Sharon,Sharon Sharon Graham,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(605) 555-0106,(605) 555-0101,sharong@treyresearch.net,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
43,Hai Dam,Hai,Hai Hai Dam,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""blitzer"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(218) 555-0101,(218) 555-0108,haid@thephone-company.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
44,Thanh Dinh,Thanh,Thanh Thanh Dinh,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""humanity"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(218) 555-0104,(218) 555-0108,thanhd@thephone-company.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
45,Hubert Helms,Hubert,Hubert Hubert Helms,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""dark-hive"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0103,(415) 555-0104,huberth@woodgrovebank.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
46,Donald Small,Donald,Donald Donald Small,0,NO LOGON,0,NULL,1,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0105,(415) 555-0104,donalds@woodgrovebank.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
1001,Waldemar Fisar,Waldemar,Waldemar Waldemar Fisar,1,waldemar@tailspintoys.com,0,0x6FA3340509935AD44EFACA70900F3AC49C2E06BDE77833F0D44A184080F1DF63,0,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(308) 555-0100,(308) 555-0101,waldemar@tailspintoys.com,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
1002,Laimonis Berzins,Laimonis,Laimonis Laimonis Berzins,0,NO LOGON,0,NULL,0,0,0,NULL,(308) 555-0100,(308) 555-0101,laimonis@tailspintoys.com,NULL,NULL,NULL,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
1003,Lorena Cindric,Lorena,Lorena Lorena Cindric,0,NO LOGON,0,NULL,0,0,0,NULL,(406) 555-0100,(406) 555-0101,lorena@tailspintoys.com,NULL,NULL,NULL,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
1004,Hung Van Groesen,Hung,Hung Hung Van Groesen,0,NO LOGON,0,NULL,0,0,0,NULL,(406) 555-0100,(406) 555-0101,hung@tailspintoys.com,NULL,NULL,NULL,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
1005,Bhaargav Rambhatla,Bhaargav,Bhaargav Bhaargav Rambhatla,0,NO LOGON,0,NULL,0,0,0,NULL,(480) 555-0100,(480) 555-0101,bhaargav@tailspintoys.com,NULL,NULL,NULL,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
